business_name,category,location,website,socials,phone,email,lead_score,lead_temperature,design_need,suggested_offer,evidence,next_action
"Talking Headz Salon","Hair salon","Philadelphia, PA","https://www.talkingheadzsalon.com/","https://www.instagram.com/talkingheadzsalon","Website contact path","Website contact path",90,"Hot","Turn salon transformations, stylist expertise, and booking availability into a dependable monthly content system.","$450/month Instagram + Facebook management with transformation reels, stylist spotlights, FAQs, and booking CTAs.","Official website is live and links directly to the salon Instagram account; the service is highly visual and appointment-driven.","Send a short Instagram DM referencing a recent transformation and offer a 30-day content calendar preview."
"Volume Salon","Hair salon","Philadelphia, PA","https://www.volumesalon.com/","https://www.instagram.com/volume.salon/","Website contact path","info@volumesalon.com",89,"Hot","Create a clearer bridge from portfolio content to consultations and booked appointments.","$450/month Instagram + Facebook package built around before-and-after posts, stylist features, service education, and booking prompts.","Official site publishes a direct Instagram link and public business email, making the salon both visually suitable and easy to contact.","Email a three-post mini concept: transformation, stylist authority, and appointment-opening post."
"Mirror & Mantel","Hair salon","Philadelphia, PA","https://www.mirrorandmantel.com/","https://www.instagram.com/mirrorandmantel/","215-988-9088","mirrorandmantel@gmail.com",88,"Hot","Organize strong visual salon material into recurring campaigns that consistently drive local discovery and bookings.","$450/month Instagram + Facebook management with recurring transformation, team, education, and availability content pillars.","Official site exposes Instagram, phone, and email contact paths; the business has services that naturally produce high-impact visual content.","Lead with email, then follow with Instagram DM two business days later."
"American Mortals","Hair salon","Philadelphia, PA","https://www.americanmortals.com/","Instagram content embedded on official website","Website contact path","Website contact path",84,"Hot","Convert existing social activity into a more structured monthly narrative with stronger calls to book.","$450/month Instagram + Facebook management featuring client looks, stylist stories, service explainers, and neighborhood-focused posts.","The official website is active and embeds recent Instagram posts, showing usable content activity and a clear opportunity for structured repurposing.","Use the website contact path and reference the salon's existing Instagram content rather than sending a generic pitch."
"About Face Skin Care","Med spa / skin care","Philadelphia, PA","https://aboutfaceskincare.com/","https://www.instagram.com/aboutfacephilly/","215-923-5001","careteam@aboutfaceskincare.com",86,"Hot","Package treatment education, results, FAQs, and seasonal offers into consistent trust-building content.","$450/month Instagram + Facebook management with treatment explainers, result stories, myths, seasonal campaigns, and consultation CTAs.","Official website provides a Philadelphia Instagram account, care-team email, and phone number; services are education-heavy and conversion-oriented.","Email a concise audit focused on turning treatment questions into four recurring monthly content series."
"Body+Beauty Lab","Med spa / aesthetics","Philadelphia, PA","https://bodyandbeautylab.com/","https://www.instagram.com/bodyandbeautylab/","215-258-8301","Website contact path",81,"Hot","Keep location-specific offers and educational content clear while building a predictable consultation funnel.","$450/month pilot for one location or service line, using educational reels, client-result posts, FAQs, and consultation CTAs.","Official website links to the brand Instagram and public phone contact; multiple services create a large reusable content library.","Pitch a focused 30-day pilot for one Philadelphia service category instead of proposing a full multi-location account takeover."
"OpenBox Athletics","Fitness studio","Philadelphia, PA","https://www.openboxathletics.com/","http://instagram.com/openboxathletics/","Website contact path","Website contact path",87,"Hot","Turn workouts, member wins, coaching expertise, and class openings into a steady membership-acquisition system.","$450/month Instagram + Facebook management with member stories, coach tips, class energy, beginner FAQs, and trial CTAs.","Official site links to an active Instagram presence; the business model depends on recurring local visibility, trust, and class conversion.","Send an Instagram DM offering a sample week built from coach, member, education, and trial-offer posts."
"Amrita Yoga & Wellness","Yoga and wellness studio","Philadelphia, PA","https://amritayogawellness.com/","http://instagram.com/amritayoga215","Website contact path","info@amritayogawellness.com",91,"Hot","Create consistent class, instructor, wellness education, and community content that moves viewers toward registrations.","$450/month Instagram + Facebook management centered on weekly class promotion, instructor spotlights, wellness tips, community proof, and registration CTAs.","Official website links to Instagram and lists a public general email; classes and wellness services create recurring time-sensitive content needs.","Email a tailored weekly content rhythm and follow with a DM that mentions a specific class or offering."
"Tuck Barre & Yoga","Barre and yoga studio","Philadelphia area, PA","https://tuckbarreyoga.com/","Instagram feed present on official website","Website contact path","Website contact path",83,"Hot","Simplify a busy stream of class, event, instructor, and community updates into a consistent conversion-focused calendar.","$450/month Instagram + Facebook management with class reminders, instructor features, member stories, event campaigns, and intro-offer CTAs.","Official site is active and includes live Instagram media; recurring classes and events make consistent scheduling especially valuable.","Use the official contact form with a sample seven-day class-promotion sequence."
"War Horse Barbell Club","Strength and fitness gym","Philadelphia, PA","https://www.warhorsebarbellclub.com/","Social contact path on official website","Website contact path","info@warhorsebarbellclub.com",85,"Hot","Translate coaching expertise, member progress, and training culture into content that attracts qualified local members.","$450/month Instagram + Facebook management with coaching education, progress stories, facility culture, FAQs, and consultation CTAs.","Official site provides a public business email and promotes a highly visual, community-driven service suited to recurring social content.","Email a strength-focused three-pillar concept: coaching authority, member proof, and first-visit conversion."
